name,yomi,pref,lat,lon,elev
利尻岳,りしりだけ,北海道,45.18042,141.24138,1721
羅臼岳,らうすだけ,北海道,44.07568,145.12224,1661
斜里岳,しゃりだけ,北海道,43.76567,144.71776,1547
雌阿寒岳,めあかんだけ,北海道,43.3865,144.00909,1499
大雪山(旭岳),たいせつざん,北海道,43.66354,142.85413,2291
トムラウシ山,とむらうしやま,北海道,43.52714,142.84858,2141
十勝岳,とかちだけ,北海道,43.41784,142.6863,2077
幌尻岳,ぽろしりだけ,北海道,42.71936,142.68286,2052
羊蹄山,ようていざん,北海道,42.82696,140.80677,1898
岩木山,いわきさん,青森県,40.6559,140.30303,1625
八甲田山,はっこうださん,青森県,40.66732,140.87297,1585
八幡平,はちまんたい,岩手県・秋田県,39.96344,140.8612,1613
岩手山,いわてさん,岩手県,39.85258,141.00114,2038
早池峰山,はやちねさん,岩手県,39.55835,141.48899,1917
鳥海山,ちょうかいさん,山形県・秋田県,39.09668,140.04908,2236
月山,がっさん,山形県,38.54556,140.02695,1984
大朝日岳,おおあさひだけ,山形県,38.26057,139.92225,1871
蔵王山(熊野岳),ざおうさん,山形県・宮城県,38.14396,140.43984,1841
飯豊山,いいでさん,福島県・山形県・新潟県,37.85486,139.70711,2105
西吾妻山,にしあづまやま,福島県・山形県,37.73815,140.14078,2035
安達太良山,あだたらやま,福島県,37.62113,140.28786,1700
磐梯山,ばんだいさん,福島県,37.60098,140.07226,1816
会津駒ヶ岳,あいづこまがたけ,福島県,37.04682,139.3539,2133
那須岳(茶臼岳),なすだけ,栃木県,37.12484,139.96313,1915
越後駒ヶ岳,えちごこまがたけ,新潟県,37.12289,139.07458,2003
平ヶ岳,ひらがたけ,新潟県・群馬県,37.00312,139.17223,2141
巻機山,まきはたやま,新潟県,36.97855,138.96441,1967
燧ヶ岳,ひうちがたけ,福島県,36.95312,139.28848,2356
至仏山,しぶつさん,群馬県,36.9035,139.17322,2228
谷川岳,たにがわだけ,群馬県・新潟県,36.83578,138.93033,1977
雨飾山,あまかざりやま,新潟県・長野県,36.90211,137.96259,1963
苗場山,なえばさん,新潟県・長野県,36.84599,138.69034,2145
妙高山,みょうこうさん,新潟県,36.89275,138.1132,2454
火打山,ひうちやま,新潟県,36.92268,138.06812,2462
高妻山,たかつまやま,新潟県・長野県,36.79998,138.05192,2353
男体山,なんたいさん,栃木県,36.76515,139.4908,2486
皇海山,すかいさん,栃木県・群馬県,36.68988,139.33692,2144
武尊山,ほたかやま,群馬県,36.80521,139.1326,2158
赤城山(黒檜山),あかぎさん,群馬県,36.56034,139.1933,1828
四阿山,あずまやさん,群馬県・長野県,36.54155,138.41254,2354
浅間山,あさまやま,群馬県・長野県,36.40657,138.52293,2568
筑波山,つくばさん,茨城県,36.22594,140.10263,877
白馬岳,しろうまだけ,長野県・富山県,36.75852,137.75848,2932
鹿島槍ヶ岳,かしまやりがたけ,長野県・富山県,36.62608,137.74868,2889
剱岳,つるぎだけ,富山県,36.62334,137.6172,2999
立山,たてやま,富山県,36.5793,137.61824,3015
薬師岳,やくしだけ,富山県,36.46886,137.54479,2926
黒部五郎岳,くろべごろうだけ,富山県・岐阜県,36.39257,137.5399,2840
水晶岳,すいしょうだけ,富山県,36.42714,137.60249,2986
鷲羽岳,わしばだけ,長野県・富山県,36.40302,137.60546,2924
槍ヶ岳,やりがたけ,長野県・岐阜県,36.34207,137.64771,3180
